ID,Name,Formula,Ion Species,Mass (DB),CAS,CCS (DB),RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,NEG Media Blank01 DI2.d.HRdm, NEG Media Blank02 DI2.d.HRdm, NEG Media Blank03 DI2.d.HRdm, NEG QCdilution 0 0625 DI2.d.HRdm, NEG QCdilution 0 125 DI2.d.HRdm, NEG QCdilution 0 25 DI2.d.HRdm, NEG QCdilution 0 5 DI2.d.HRdm, NEG QCdilution 1 0 DI2.d.HRdm, NEG S1P DI2.d.HRdm, NEG S1S DI2.d.HRdm, NEG S2P DI2.d.HRdm, NEG S2S DI2.d.HRdm, NEG S3P DI2.d.HRdm, NEG S3S DI2.d.HRdm, NEG W1P DI2.d.HRdm, NEG W1S DI2.d.HRdm, NEG W2P DI2.d.HRdm, NEG W2S DI2.d.HRdm, NEG W3P DI2.d.HRdm, NEG W3S DI2.d.HRdm
2460,,,,,,,0.756,,35.742,,196.32,,1185.0125,,0.0000146,4.47,-1,2,1,95.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,23935.17,0.001,0.001,0.001,0.001,0.001
2461,,,,,,,0.23,,50.833,,282.14,,700.4313,,0.0000146,4.47,-1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,40283.65,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2462,"N6-Acetyl-LL-2,6-diaminoheptanedioate",C9 H16 N2 O5,(M-H)-,232.1059,,,2.674,,25.859,,148.17,,231.0975,,0.0000146,4.47,-1,2,1,81.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,45517.36,0.001,0.001,0.001,0.001
2463,,,,,,,3.097,,33.752,,188.8,,446.004,,0.0000145,4.47,-1,2,1,94.1,,FALSE,0.001,0.001,40394.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2464,Histidylleucine,C12 H20 N4 O3,(M-H)-,268.1535,7763-65-7,,1.998,,31.56,,179.89,,267.1455,,0.0000145,4.47,-1,2,1,92.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,44333.01
2465,,,,,,,2.122,,36.335,,203.42,,443.2324,,0.0000145,4.47,-1,2,1,82.4,,FALSE,40205.03,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2466,,,,,,,3.312,0.21,22.196,0.11,128.96,0.65,177.9847,0.0011,0.0000144,3.3,-1,2,2,91,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,10907.51,0.001,0.001,0.001,0.001,0.001,0.001,0.001,16085.77,0.001,0.001,0.001,0.001,0.001
2467,,,,,,,2.649,,34.629,,194.36,,403.1821,,0.0000143,4.47,-1,2,1,99.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,39608.73,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2468,Goyaglycoside g,C43 H70 O14,(M-H)-,810.4766,333333-14-5,,1.643,,50.525,,279.69,,809.4734,,0.0000143,4.47,-1,2,1,94.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,43708.99
2469,Coprine,C8 H14 N2 O4,(M-H)-,202.0954,58919-61-2,,2.428,,26.066,,150.57,,201.0884,,0.0000143,4.47,-1,2,1,88.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,23366.42,0.001,0.001,0.001,0.001,0.001
2470,,,,,,,2.728,,42.888,,237.96,,673.3144,,0.0000142,4.47,-1,2,1,96.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,23248.39,0.001,0.001,0.001,0.001,0.001
2471,Barbamide,C20 H23 Cl3 N2 O2 S,(M-H)-,460.0546,,,2.485,0.001,34.711,0.035,194.05,0.2,459.0437,0.0003,0.000014,3.28,-1,2,2,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11327.81,0.001,0.001,29375.84,0.001,0.001,0.001,0.001
2472,,,,,,,0.319,,42.601,,239.48,,404.0124,,0.000014,4.47,-1,2,1,93.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,38617.25,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2473,Androsterone sulfate,C19 H30 O5 S,(M-H)-,370.1814,2479-86-9,,1.77,0.001,32.732,0.051,184.17,0.29,369.1768,0.0003,0.0000139,3.19,-1,2,2,96.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,24113.31,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15901.35
2474,,,,,,,0.222,,34.396,,194.52,,326.1862,,0.0000139,4.47,-1,2,1,89.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,37578.43,0.001,0.001,0.001,0.001,0.001,0.001
2475,7-Methoxypradimicinone II,C29 H25 N O12,(M-H)-,579.1377,,,2.968,0.041,39.166,0.041,217.88,0.23,578.1366,0.0016,0.0000138,2.45,-1,2,3,100,,FALSE,0.001,0.001,0.001,7408.274,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7563.583,0.001,9659.41,0.001,0.001,0.001
2476,,,,,,,0.39,,58.344,,322.17,,1006.5682,,0.0000137,4.47,-1,2,1,99.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,27754.12,0.001
2477,Acetyl-maltose,C14 H24 O12,(M-H)-,384.1268,,,2.008,,41.179,,231.84,,383.122,,0.0000137,4.47,-1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,33872.14,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2478,,,,,,,2.368,,31.787,,180.6,,286.9993,,0.0000132,4.47,-1,2,1,93.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,36547.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2479,,,,,,,1.195,,43.063,,239.38,,616.2991,,0.0000132,4.47,-1,2,1,89.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,40371.73
2480,,,,,,,1.85,0.001,36.27,0.082,203.7,0.47,400.2185,0.0002,0.0000132,3.08,-1,2,2,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,18498.44,0.001,17937.35,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2481,,,,,,,2.562,0.045,49.473,0.196,273.42,1.09,888.2193,0.001,0.0000132,3.52,-1,2,2,84.4,,FALSE,0.001,0.001,0.001,18206.62,0.001,0.001,7462.512,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2482,,,,,,,2.58,,30.895,,174.85,,312.1553,,0.0000131,4.47,-1,2,1,90.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,36224.46,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2483,,,,,,,1.327,,40.945,,228.46,,518.2184,,0.0000131,4.47,-1,2,1,98.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,40753.95,0.001,0.001,0.001,0.001
2484,,,,,,,0.607,,33.855,,192.29,,293.0511,,0.0000131,4.47,-1,2,1,92.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,39867.63
2485,,,,,,,2.426,,39.539,,220.54,,519.1798,,0.0000131,4.47,-1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,36060.11,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2486,,,,,,,0.154,0.014,28.782,0.059,162.84,0.34,309.0622,0.0005,0.000013,3.09,-1,2,2,83.4,,FALSE,0.001,19114.81,0.001,0.001,0.001,0.001,0.001,15813.42,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2487,Cephamycin C,C16 H22 N4 O9 S,(M-H)-,446.1107,38429-35-5,,2.002,,33.995,,190.19,,445.1007,,0.000013,4.47,-1,2,1,82.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,35747.12,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2488,8-Oxodeoxycoformycin,C11 H14 N4 O4,(M-H)-,266.1015,,,2.22,,29.527,,168.25,,265.0912,,0.0000129,4.47,-1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,39371.18
2489,4-Methoxybenzyl glucoside,C14 H20 O7,(M-H)-,300.1209,81381-72-8,,0.947,,28.81,,163.23,,299.1148,,0.0000128,4.47,-1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,35432.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2490,7-Acetoxy-6-hydroxylimonin,C28 H34 O10,(M-H)-,530.2152,208333-73-7,,1.254,,40.819,,227.63,,529.2051,,0.0000126,4.47,-1,2,1,84,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,36072.14,0.001,0.001
2491,,,,,,,2.558,,36.281,,203.31,,429.2336,,0.0000126,4.47,-1,2,1,90.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,38300.01
2492,,,,,,,1.91,,39.283,,219.3,,502.1512,,0.0000125,4.47,-1,2,1,91,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,34460.91,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2493,,,,,,,1.728,0.001,52.213,0.024,288.46,0.13,930.5306,0.0023,0.0000125,3.24,-1,2,2,90.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11515.26,0.001,0.001,0.001,0.001,0.001,22140.34,0.001,0.001,0.001,0.001,0.001,0.001
2494,,,,,,,1.254,,29.586,,169.35,,242.1222,,0.0000124,4.47,-1,2,1,93.4,,FALSE,0.001,0.001,34545.47,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2495,,,,,,,2.682,,32.23,,181.07,,384.0521,,0.0000124,4.47,-1,2,1,96.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,25132.17,0.001
2496,,,,,,,0.646,,32.368,,181.58,,401.9942,,0.0000124,4.47,-1,2,1,84.7,,FALSE,0.001,0.001,34369.88,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2497,,,,,,,1.903,,25.83,,148.55,,216.151,,0.0000123,4.47,-1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,37624.3
2498,(S)-Piperidine-2-carboxamide,C6 H12 N2 O,(M-H)-,128.095,,,2.33,,26.732,,159.86,,127.0864,,0.0000122,4.47,-1,2,1,88.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32666.41,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2499,,,,,,,1.44,,32.067,,179.52,,427.9695,,0.0000121,4.47,-1,2,1,91.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32460.38,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2500,,,,,,,2.074,0.111,33.094,0.216,186.12,1.23,375.1875,0.0009,0.000012,3.57,-1,2,2,96.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,6272.556,0.001,0.001,0.001,0.001,0.001,0.001,25296.11,0.001,0.001,0.001,0.001,0.001,0.001
2501,Ethyl 7-epi-12-hydroxyjasmonate glucoside,C20 H32 O9,(M-H)-,416.2046,,,2.199,,34.389,,192.82,,415.1978,,0.000012,4.47,-1,2,1,92.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,19611.31,0.001,0.001,0.001,0.001,0.001
2502,,,,,,,2.082,,56.517,,311.74,,1082.5844,,0.0000118,4.47,-1,2,1,93.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32682.83,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2503,Glutaminyl-Tyrosine,C14 H19 N3 O5,(M-H)-,309.1325,,,1.934,,31.784,,180.03,,308.1245,,0.0000118,4.47,-1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32632.09,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2504,,,,,,,0.522,,31.917,,179.35,,381.0062,,0.0000118,4.47,-1,2,1,97.7,,FALSE,0.001,0.001,32648.02,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2505,,,,,,,0.228,,44.528,,247.25,,656.4235,,0.0000117,4.47,-1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,16775.76,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2506,,,,,,,1.293,,31.694,,180.09,,286.1769,,0.0000117,4.47,-1,2,1,86.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,28896.43,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2507,Deltorphin A,C44 H62 N10 O10 S2,(M-H)-,954.4092,119975-64-3,,1.614,0.001,52.064,0.163,287.53,0.91,953.4055,0.0007,0.0000117,2.63,-1,2,3,97.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5613.347,0.001,9423.617,14713.82,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2508,,,,,,,0.757,,35.679,,195.97,,1186.0072,,0.0000117,4.47,-1,2,1,88.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,33567.73,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2509,,,,,,,2.506,0,41.725,0.117,231.81,0.66,626.2791,0.001,0.0000116,3.11,-1,2,2,86.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13913.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,20062.89
2510,,,,,,,2.484,0.001,33.284,0.004,186.76,0.02,402.1321,0.0004,0.0000116,3.36,-1,2,2,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8339.868,22206.56,0.001,0.001,0.001,0.001,0.001,0.001
2511,,,,,,,0.391,,27.275,,156.56,,226.1199,,0.0000116,4.47,-1,2,1,97.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31072.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2512,,,,,,,1.485,,24.07,,138.95,,200.0555,,0.0000115,4.47,-1,2,1,91.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31176.26,0.001,0.001,0.001,0.001,0.001,0.001
2513,,,,,,,2.945,0.011,25.734,0.088,145.73,0.51,293.8906,0,0.0000115,3.21,-1,2,2,98.1,,FALSE,11393.42,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,23005.24,0.001,0.001,0.001,0.001
2514,pinazepam,C18 H13 Cl N2 O,(M-H)-,308.0716,52463-83-9,,0.236,,31.199,,176.71,,307.0629,,0.0000114,4.47,-1,2,1,92,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,34634.3
2515,Pyridoxal,C8 H9 N O3,(M-H)-,167.0582,65-22-5,,2.37,,31.475,,184.51,,166.0521,,0.0000113,4.47,-1,2,1,80.1,,FALSE,0.001,30570.61,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2516,Acetyl-maltose,C14 H24 O12,(M-H)-,384.1268,,,2.004,,32.908,,184.93,,383.1214,,0.0000113,4.47,-1,2,1,91.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31192.49,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2517,Linopirdine,C26 H21 N3 O,(M-H)-,391.1685,105431-72-9,,2.538,0.008,34.195,0.148,192.11,0.84,390.1647,0.0005,0.0000113,3.15,-1,2,2,85.7,,FALSE,18842.22,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12828.82,0.001,0.001
2518,GVLHAVK (Tryptic Peptide),C33 H58 N10 O8,(M-H)-,722.4439,932445-77-7,,0.882,,49.004,,271.77,,721.4338,,0.0000113,4.47,-1,2,1,81.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32379.26,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2519,,,,,,,2.687,0.002,42.095,0.096,233.77,0.53,640.2931,0.0016,0.0000112,2.52,-1,2,3,93.7,,FALSE,0.001,0.001,10990.47,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7135.713,0.001,0.001,0.001,14622.58,0.001,0.001,0.001,0.001
2520,,,,,,,2.495,0,45.541,0.067,252.53,0.37,708.3902,0.0006,0.0000112,3.59,-1,2,2,93.7,,FALSE,24443.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,6925.501,0.001,0.001
2521,,,,,,,1.757,,36.577,,205,,428.2494,,0.0000112,4.47,-1,2,1,96,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,34886.16,0.001,0.001,0.001,0.001
2522,,,,,,,1.227,,42.669,,237.47,,582.3131,,0.0000112,4.47,-1,2,1,99.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,34107.91
2523,Amphibine A,C33 H43 N5 O4,(M-H)-,573.3315,36535-97-4,,1.261,,42.189,,234.88,,572.3267,,0.0000112,4.47,-1,2,1,93.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,30863.77,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2524,,,,,,,2.201,,35.678,,200.16,,412.2194,,0.0000111,4.47,-1,2,1,98.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,29907.93,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2525,,,,,,,2.535,,36.892,,205.79,,507.1568,,0.0000111,4.47,-1,2,1,96.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,33965.59
2526,8-Hydroxyalanylclavam,C8 H12 N2 O5,(M-H)-,216.0746,,,1.908,,32.118,,185.19,,215.0665,,0.0000111,4.47,-1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,23759.86,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2527,,,,,,,2.467,,40.384,,224.89,,558.2155,,0.0000111,4.47,-1,2,1,80.4,,FALSE,0.001,29935.59,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2528,,,,,,,2.131,,28.521,,161.77,,291.0913,,0.0000111,4.47,-1,2,1,90.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,29700.63,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2529,,,,,,,1.874,0.002,32.105,0.1,180.7,0.57,364.198,0,0.0000108,3.08,-1,2,2,93.7,,FALSE,0.001,0.001,14304.46,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15385.09,0.001,0.001,0.001,0.001,0.001,0.001
2530,"(-)-Epigallocatechin 3-gallate 7-glucoside 4""-glucuronide",C34 H36 O22,(M-H)-,796.1698,,,0.219,0.002,49.394,0.082,273.47,0.45,795.1588,0.003,0.0000108,3.08,-1,2,2,100,,FALSE,0.001,0.001,0.001,0.001,9134.815,0.001,0.001,0.001,0.001,0.001,0.001,14112.97,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2531,,,,,,,1.48,,31.521,,178.73,,300.1919,,0.0000108,4.47,-1,2,1,83.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32985.13
2532,γ-Glutamyl ornithine,C10 H19 N3 O5,(M-H)-,261.1325,6713-95-7,,2.137,,34.867,,199.18,,260.1244,,0.0000108,4.47,-1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,26644.69,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2533,,,,,,,0.314,,35.255,,199.49,,323.2556,,0.0000108,4.47,-1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,26621.78,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2534,,,,,,,1.988,,40.887,,227.67,,562.1545,,0.0000107,4.47,-1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,29593.83,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2535,Nigakilactone N,C21 H30 O7,(M-H)-,394.1992,,,1.582,0.01,33.896,0.28,190.37,1.59,393.1883,0,0.0000107,3.12,-1,2,2,81.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,17151.77,0.001,0.001,0.001,13871.78,0.001,0.001,0.001,0.001
2536,cis-3-Hexenyl b-primeveroside,C17 H30 O10,(M-H)-,394.1839,132278-37-6,,1.763,,33.235,,186.62,,393.1765,,0.0000106,4.47,-1,2,1,98,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,30366.4,0.001,0.001
2537,,,,,,,0.608,,38.28,,212.72,,602.1177,,0.0000106,4.47,-1,2,1,91.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,29356.4,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2538,,,,,,,1.468,0.007,33.468,0.207,188.23,1.17,376.1878,0.0001,0.0000106,3.3,-1,2,2,90.5,,FALSE,9294.496,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,20047.96,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2539,,,,,,,1.997,0.003,41.803,0.011,231.92,0.06,670.2049,0.0012,0.0000106,3.25,-1,2,2,93.4,,FALSE,0.001,0.001,9943.765,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,18962.02,0.001,0.001,0.001,0.001,0.001,0.001
2540,,,,,,,1.66,,38.392,,214.58,,477.2805,,0.0000106,4.47,-1,2,1,99.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,29156.34,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2541,,,,,,,2.419,0.002,48.071,0.152,266.08,0.85,798.3001,0.0012,0.0000106,3.08,-1,2,2,93.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14978.14,0.001,0.001,0.001,13737.49,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2542,,,,,,,1.445,,33.888,,190.7,,371.229,,0.0000105,4.47,-1,2,1,90.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,29102.94,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2543,,,,,,,1.603,,39.93,,222.91,,504.2048,,0.0000105,4.47,-1,2,1,95,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32015.72
2544,,,,,,,0.798,0.039,29.462,0.034,162.01,0.19,944.0106,0.0019,0.0000105,2.47,-1,2,3,86.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8673.003,0.001,8695.072,0.001,0.001,0.001,0.001,8366.356,0.001
2545,(+/-)-6-Acetonyldihydrosanguinarine,C23 H19 N O5,(M-H)-,389.1263,88588-10-7,,2.481,,32.88,,184.7,,388.1172,,0.0000103,4.47,-1,2,1,84.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31991.75,0.001,0.001,0.001,0.001
2546,"PE(15:0/18:2(9Z,12Z))",C38 H72 N O8 P,(M-H)-,701.4996,,,0.835,,47.335,,262.61,,700.4895,,0.0000102,4.47,-1,2,1,92.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,16733.46,0.001,0.001,0.001,0.001,0.001
